playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG
dennyjo01,326,570,44,97,9,2,0,29.0,9.0,19,164.0,1.0,63.0,3.0,0.17017543859649123,0.1973018549747049,0.19298245614035087
denorch01,808,2162,289,587,103,17,41,196.0,56.0,187,408.0,9.0,13.0,14.0,0.27150786308973174,0.33010118043844855,0.39176688251618874
densodr01,16,41,1,10,1,0,0,5.0,1.0,3,11.0,0.0,0.0,0.0,0.24390243902439024,0.29545454545454547,0.2682926829268293
dentbu01,1392,4512,451,1114,169,23,40,423.0,17.0,328,349.0,15.0,121.0,49.0,0.24689716312056736,0.2971044045676998,0.3211436170212766
dented01,12,26,1,2,0,0,0,1.0,0.0,0,10.0,1.0,0.0,0.0,0.07692307692307693,0.1111111111111111,0.07692307692307693
dentesa01,745,2320,205,585,78,16,4,214.0,9.0,167,96.0,4.0,41.0,3.0,0.2521551724137931,0.30312750601443467,0.30474137931034484
denzero01,23,61,4,8,2,0,0,2.0,0.0,3,18.0,1.0,0.0,0.0,0.13114754098360656,0.18461538461538463,0.16393442622950818
depanmi01,4,10,0,2,0,0,0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.2,0.2727272727272727,0.2
depasjo01,2,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
depaujo01,10,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
depaujo02,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
depauju01,16,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
depause01,29,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dephito01,35,20,0,2,1,0,0,2.0,0.0,1,5.0,0.0,1.0,0.0,0.1,0.14285714285714285,0.15
derbyge01,115,444,40,87,6,2,0,23.0,0.0,11,59.0,0.0,0.0,0.0,0.19594594594594594,0.2153846153846154,0.21846846846846846
derbyge02,10,31,4,4,0,0,0,2.0,0.0,1,0.0,1.0,0.0,0.0,0.12903225806451613,0.18181818181818182,0.12903225806451613
dermoma01,29,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dernibo01,904,2483,374,634,92,16,23,152.0,218.0,222,301.0,8.0,36.0,8.0,0.25533628674989933,0.3175303197353914,0.33306484091824407
derosma01,1241,3633,538,975,196,12,100,494.0,23.0,358,707.0,52.0,15.0,36.0,0.26837324525185796,0.3395440058837951,0.41150564271951556
derricl01,113,326,35,79,6,4,1,33.0,13.0,22,22.0,4.0,13.0,0.0,0.24233128834355827,0.29829545454545453,0.294478527607362
derriji01,21,6,1,1,0,0,0,0.0,0.0,1,3.0,0.0,2.0,0.0,0.16666666666666666,0.2857142857142857,0.16666666666666666
derrimi01,24,33,3,7,1,0,0,5.0,0.0,0,11.0,0.0,0.0,1.0,0.21212121212121213,0.20588235294117646,0.24242424242424243
derripa01,579,1260,70,220,30,3,2,102.0,0.0,16,219.0,2.0,77.0,0.0,0.1746031746031746,0.18622848200312989,0.20793650793650795
derryru01,187,553,68,124,17,7,17,73.0,2.0,78,124.0,2.0,4.0,0.0,0.22423146473779385,0.3222748815165877,0.37251356238698013
desajo01,35,55,5,11,2,0,2,7.0,0.0,3,8.0,0.0,1.0,0.0,0.2,0.2413793103448276,0.34545454545454546
desalma01,9,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desauge01,712,2012,211,469,73,11,3,187.0,12.0,232,168.0,9.0,57.0,0.0,0.2331013916500994,0.31513537505548156,0.28479125248508946
descada01,1080,2519,326,593,126,25,48,294.0,26.0,303,600.0,21.0,26.0,22.0,0.2354108773322747,0.32006980802792323,0.3624454148471616
desclan01,125,206,5,27,2,0,1,11.0,0.0,5,111.0,0.0,9.0,1.0,0.13106796116504854,0.1509433962264151,0.1553398058252427
deshaji01,258,373,13,33,0,0,0,12.0,0.0,23,186.0,0.0,44.0,0.0,0.08847184986595175,0.1414141414141414,0.08847184986595175
deshide01,1615,5779,872,1548,244,74,80,561.0,463.0,754,1061.0,20.0,57.0,42.0,0.2678664128741997,0.3520849128127369,0.37722789409932517
deshide02,576,1781,298,438,76,19,18,133.0,109.0,202,476.0,14.0,47.0,12.0,0.2459292532285233,0.3255350920856147,0.34025828186412127
deshoji01,176,293,35,58,2,4,0,25.0,1.0,32,41.0,1.0,19.0,0.0,0.19795221843003413,0.2791411042944785,0.23208191126279865
desiljo01,6,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desjash01,1,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desmoia01,1478,5442,724,1432,277,37,181,711.0,181.0,387,1402.0,43.0,33.0,39.0,0.2631385520029401,0.31500592116393167,0.42741639103270856
despaod01,109,78,0,5,1,0,0,1.0,0.0,2,27.0,0.0,7.0,0.0,0.0641025641025641,0.0875,0.07692307692307693
dessaru01,21,19,2,1,0,0,0,1.0,0.0,3,7.0,0.0,1.0,0.0,0.05263157894736842,0.18181818181818182,0.05263157894736842
desseel01,445,240,14,39,4,1,0,16.0,0.0,22,65.0,0.0,38.0,0.0,0.1625,0.23282442748091603,0.1875
destror01,237,765,80,184,25,3,26,106.0,1.0,87,184.0,5.0,1.0,8.0,0.24052287581699347,0.3190751445086705,0.38300653594771245
dethebo01,20,26,2,8,2,0,1,7.0,1.0,1,4.0,0.0,0.0,0.0,0.3076923076923077,0.3333333333333333,0.5
detorge01,33,68,3,17,7,0,0,9.0,0.0,8,4.0,0.0,1.0,0.0,0.25,0.32894736842105265,0.35294117647058826
dettmjo01,12,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dettoto01,68,48,3,11,1,0,0,7.0,0.0,4,13.0,0.0,2.0,0.0,0.22916666666666666,0.28846153846153844,0.25
detwedu01,13,45,3,14,2,1,0,5.0,0.0,2,7.0,0.0,0.0,0.0,0.3111111111111111,0.3404255319148936,0.4
detwiro01,224,118,3,7,0,0,0,3.0,0.0,3,61.0,0.0,10.0,0.0,0.059322033898305086,0.08264462809917356,0.059322033898305086
deutsme01,3,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
devarce01,16,22,3,2,0,1,0,0.0,0.0,1,3.0,0.0,1.0,0.0,0.09090909090909091,0.13043478260869565,0.18181818181818182
devench01,16,25,1,3,0,0,0,1.0,1.0,6,9.0,0.0,2.0,0.0,0.12,0.2903225806451613,0.12
devench02,225,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
devermi01,1086,3740,491,949,170,33,105,480.0,85.0,296,635.0,12.0,20.0,34.0,0.25374331550802137,0.307937285644292,0.40106951871657753
deverra01,392,1551,254,433,108,5,74,254.0,16.0,117,364.0,7.0,1.0,4.0,0.2791747259832366,0.33174508636092914,0.498388136686009
devinad01,217,41,0,2,0,0,0,1.0,0.0,1,15.0,0.0,3.0,0.0,0.04878048780487805,0.07142857142857142,0.04878048780487805
devinha01,1,2,1,2,0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
devinji01,3,12,4,2,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
devinjo01,93,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
devinmi01,33,53,7,12,4,0,0,4.0,1.0,3,6.0,0.0,1.0,0.0,0.22641509433962265,0.26785714285714285,0.3018867924528302
devivbe01,25,23,4,5,1,0,0,2.0,1.0,2,8.0,0.0,2.0,0.0,0.21739130434782608,0.28,0.2608695652173913
devliar01,1313,4412,603,1185,164,57,10,505.0,285.0,576,345.0,84.0,169.0,0.0,0.2685856754306437,0.36376182965299686,0.33839528558476883
devliji01,266,1186,180,340,46,14,1,131.0,8.0,16,55.0,0.0,0.0,0.0,0.2866779089376054,0.2961730449251248,0.35160202360876897
