playerID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,inducted
gelbech01,876.0,2869.0,398.0,766.0,169.0,43.0,17.0,350.0,34.0,290.0,245.0,7.0,49.0,0.0,0.26699198326943185,0.33575489576753,0.3736493551760195,N
gelnajo01,112.0,37.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,3.0,0.0,0.08108108108108109,0.1282051282051282,0.08108108108108109,N
genewjo01,279.0,464.0,37.0,96.0,7.0,1.0,0.0,30.0,1.0,13.0,62.0,2.0,25.0,0.0,0.20689655172413793,0.23173277661795408,0.22629310344827586,N
geninfr01,149.0,514.0,75.0,116.0,18.0,0.0,2.0,44.0,32.0,43.0,40.0,2.0,27.0,0.0,0.22568093385214008,0.2880143112701252,0.2723735408560311,N
gennesc01,793.0,2704.0,365.0,773.0,149.0,16.0,87.0,360.0,24.0,156.0,571.0,17.0,17.0,16.0,0.28587278106508873,0.3269961977186312,0.4493343195266272,N
genovge01,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,N
gentiji01,936.0,2922.0,434.0,759.0,113.0,6.0,179.0,549.0,3.0,475.0,663.0,45.0,5.0,32.0,0.2597535934291581,0.3681635002878526,0.4863107460643395,N
gentisa01,8.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.4,0.5,N
gentrcr01,602.0,1242.0,180.0,325.0,47.0,14.0,7.0,104.0,94.0,102.0,250.0,33.0,18.0,5.0,0.2616747181964573,0.33285094066570187,0.3389694041867955,N
gentrga01,158.0,285.0,10.0,27.0,4.0,0.0,0.0,12.0,0.0,11.0,174.0,1.0,25.0,2.0,0.09473684210526316,0.13043478260869565,0.10877192982456141,N
gentrha01,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.4,0.25,N
gentrru01,48.0,87.0,2.0,16.0,2.0,0.0,0.0,10.0,0.0,2.0,16.0,0.0,2.0,0.0,0.1839080459770115,0.20224719101123595,0.20689655172413793,N
georgal01,5.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.1,0.18181818181818182,0.1,N
georgbi01,30.0,124.0,15.0,26.0,1.0,0.0,1.0,14.0,5.0,2.0,12.0,0.0,0.0,0.0,0.20967741935483872,0.2222222222222222,0.24193548387096775,N
georgch02,47.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.3333333333333333,0.5,0.3333333333333333,N
georggr01,118.0,299.0,15.0,53.0,9.0,2.0,0.0,24.0,0.0,28.0,59.0,0.0,5.0,0.0,0.17725752508361203,0.24770642201834864,0.22073578595317725,N
georgle01,55.0,92.0,5.0,14.0,1.0,3.0,0.0,1.0,0.0,4.0,4.0,0.0,3.0,0.0,0.15217391304347827,0.1875,0.22826086956521738,N
geragbe01,70.0,146.0,16.0,29.0,4.0,0.0,0.0,9.0,4.0,9.0,18.0,0.0,1.0,0.0,0.19863013698630136,0.24516129032258063,0.22602739726027396,N
gerarda01,39.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.375,0.4444444444444444,0.375,N
gerbecr01,65.0,91.0,8.0,24.0,1.0,2.0,0.0,6.0,0.0,2.0,3.0,0.0,3.0,1.0,0.26373626373626374,0.2765957446808511,0.31868131868131866,N
gerbege01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,N
gerbemi01,30.0,66.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,6.0,36.0,0.0,0.0,1.0,0.07575757575757576,0.1506849315068493,0.10606060606060606,N
gerbewa01,1522.0,5099.0,558.0,1309.0,172.0,46.0,7.0,476.0,43.0,465.0,357.0,33.0,219.0,0.0,0.25671700333398706,0.3228515276040736,0.31261031574818593,N
gerenbo01,307.0,765.0,62.0,178.0,21.0,1.0,22.0,76.0,0.0,49.0,179.0,6.0,19.0,3.0,0.2326797385620915,0.28311057108140947,0.34901960784313724,N
gerhajo01,1071.0,4140.0,493.0,939.0,122.0,55.0,7.0,382.0,37.0,162.0,238.0,13.0,0.0,0.0,0.22681159420289856,0.2581691772885284,0.28792270531400965,N
gerhake01,215.0,615.0,72.0,136.0,22.0,3.0,24.0,64.0,16.0,42.0,128.0,3.0,8.0,8.0,0.22113821138211381,0.27095808383233533,0.383739837398374,N
gerharu01,23.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,N
gerheal01,152.0,211.0,12.0,44.0,10.0,3.0,1.0,22.0,0.0,7.0,55.0,1.0,2.0,0.0,0.20853080568720378,0.2374429223744292,0.2985781990521327,N
gerkege01,44.0,129.0,17.0,29.0,7.0,2.0,0.0,11.0,3.0,13.0,25.0,1.0,4.0,0.0,0.2248062015503876,0.3006993006993007,0.31007751937984496,N
