First Name,Last Name,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,AVG,OBP,SLG,Inducted,HOF Prediction,Yes HOF Probability
Tim,Raines,2502.0,8872.0,1571.0,2605.0,430.0,113.0,170.0,980.0,808.0,1330.0,966.0,42.0,39.0,76.0,0.293620378719567,0.385368217054264,0.425045085662759,1,1,99.26692247390747
Pee Wee,Reese,2166.0,8058.0,1338.0,2170.0,330.0,80.0,126.0,885.0,232.0,1210.0,890.0,26.0,157.0,19.0,0.269297592454703,0.365725330183614,0.377016629436585,1,1,99.88526105880737
Jim,Rice,2089.0,8225.0,1249.0,2452.0,373.0,79.0,382.0,1451.0,58.0,670.0,1423.0,64.0,5.0,94.0,0.298115501519757,0.351927537832763,0.502006079027356,1,1,99.97523427009583
Sam,Rice,2404.0,9269.0,1514.0,2987.0,498.0,184.0,34.0,1078.0,351.0,708.0,275.0,56.0,213.0,0.0,0.322256985651095,0.373866241403369,0.42669112094077,1,1,99.99992847442627
Cal,Ripken,3001.0,11551.0,1647.0,3184.0,603.0,44.0,431.0,1695.0,36.0,1129.0,1305.0,66.0,10.0,127.0,0.275647130118604,0.340169346694632,0.447407150896026,1,1,99.73700046539307
Claude,Ritchey,1672.0,5923.0,709.0,1619.0,216.0,68.0,18.0,675.0,155.0,607.0,290.0,72.0,224.0,0.0,0.273341212223535,0.348076340502878,0.341887556981259,0,1,93.20128560066223
Phil,Rizzuto,1661.0,5816.0,877.0,1588.0,239.0,62.0,38.0,563.0,149.0,651.0,398.0,49.0,193.0,2.0,0.273039889958735,0.351027922675667,0.355055020632737,1,1,99.87672567367554
Frank,Robinson,2808.0,10006.0,1829.0,2943.0,528.0,72.0,586.0,1812.0,204.0,1420.0,1532.0,198.0,17.0,102.0,0.294123525884469,0.388964693842743,0.536977813312013,1,1,99.89776611328125
Jackie,Robinson,1382.0,4877.0,947.0,1518.0,273.0,54.0,137.0,734.0,197.0,740.0,291.0,72.0,104.0,9.0,0.311256920237851,0.408915408915409,0.473651835144556,1,1,99.97366070747375
Ivan,Rodriguez,2543.0,9592.0,1354.0,2844.0,572.0,51.0,311.0,1332.0,127.0,513.0,1474.0,58.0,31.0,76.0,0.296497080900751,0.333528664908682,0.464032527105922,1,1,99.80145692825317
Edd,Roush,1967.0,7363.0,1099.0,2376.0,339.0,182.0,68.0,981.0,268.0,484.0,260.0,53.0,256.0,0.0,0.322694553850333,0.36873417721519,0.445878038842863,1,1,99.99915361404419
Babe,Ruth,2503.0,8398.0,2174.0,2873.0,506.0,136.0,714.0,2217.0,123.0,2062.0,1330.0,43.0,113.0,0.0,0.342105263157895,0.473959821003523,0.68980709692784,1,1,99.9997615814209
Ryne,Sandberg,2164.0,8385.0,1318.0,2386.0,403.0,76.0,282.0,1061.0,344.0,761.0,1260.0,34.0,31.0,71.0,0.284555754323196,0.343854718408821,0.451639833035182,1,1,99.95821118354797
Ron,Santo,2243.0,8143.0,1138.0,2254.0,365.0,67.0,342.0,1331.0,35.0,1108.0,1343.0,38.0,13.0,94.0,0.27680216136559,0.362357454971757,0.464079577551271,1,1,99.3819534778595
Mike,Schmidt,2404.0,8352.0,1506.0,2234.0,408.0,59.0,548.0,1595.0,174.0,1507.0,1883.0,79.0,16.0,108.0,0.267480842911877,0.380250846107904,0.527298850574713,1,1,99.98514652252197
Red,Schoendienst,2216.0,8479.0,1223.0,2449.0,427.0,78.0,84.0,773.0,89.0,606.0,346.0,21.0,97.0,19.0,0.288831230097889,0.337095890410959,0.38730982427173,1,1,99.76480603218079
Kip,Selbach,1612.0,6165.0,1066.0,1807.0,301.0,149.0,44.0,779.0,334.0,785.0,358.0,42.0,110.0,0.0,0.293106244931062,0.376716247139588,0.411678832116788,0,1,99.88662004470825
Joe,Sewell,1903.0,7132.0,1141.0,2226.0,436.0,68.0,49.0,1055.0,74.0,842.0,114.0,80.0,275.0,0.0,0.312114413909142,0.390861683635461,0.412927650028043,1,1,99.98524188995361
Gary,Sheffield,2576.0,9217.0,1636.0,2689.0,467.0,27.0,509.0,1676.0,253.0,1475.0,1171.0,135.0,9.0,111.0,0.291743517413475,0.393033461327482,0.513941629597483,0,1,99.95074272155762
Al,Simmons,2215.0,8759.0,1507.0,2927.0,539.0,149.0,307.0,1827.0,88.0,615.0,737.0,30.0,111.0,0.0,0.334170567416372,0.379838366652488,0.534878410777486,1,1,99.9998688697815
George,Sisler,2055.0,8267.0,1284.0,2812.0,425.0,164.0,102.0,1175.0,375.0,472.0,327.0,48.0,226.0,0.0,0.340147574694569,0.37919654034369,0.468247248094835,1,1,99.9998927116394
Enos,Slaughter,2380.0,7946.0,1247.0,2383.0,413.0,148.0,169.0,1304.0,71.0,1018.0,538.0,37.0,73.0,10.0,0.299899320412786,0.381533681056486,0.452932292977599,1,1,99.95816349983215
Ozzie,Smith,2573.0,9396.0,1257.0,2460.0,402.0,69.0,28.0,793.0,580.0,1072.0,589.0,33.0,214.0,63.0,0.261813537675607,0.337466868610375,0.328224776500639,1,1,99.56965446472168
Duke,Snider,2143.0,7161.0,1259.0,2116.0,358.0,85.0,407.0,1333.0,99.0,971.0,1237.0,21.0,52.0,32.0,0.295489456779779,0.379718998167379,0.539729088116185,1,1,99.96922016143799
Tris,Speaker,2789.0,10195.0,1882.0,3514.0,792.0,222.0,117.0,1529.0,432.0,1381.0,323.0,103.0,309.0,0.0,0.344678764100049,0.427947598253275,0.500343305541932,1,1,99.9917984008789
Willie,Stargell,2360.0,7927.0,1194.0,2232.0,423.0,55.0,475.0,1540.0,17.0,937.0,1936.0,78.0,9.0,75.0,0.281569320045414,0.360097593434623,0.528573230730415,1,1,98.0307936668396
Harry,Stovey,1489.0,6153.0,1495.0,1775.0,348.0,176.0,122.0,912.0,509.0,664.0,452.0,31.0,0.0,0.0,0.288477165610271,0.360689252336449,0.461725987323257,0,1,91.84577465057373
Bill,Terry,1721.0,6428.0,1120.0,2193.0,373.0,112.0,154.0,1078.0,56.0,537.0,449.0,9.0,137.0,0.0,0.34116365899191,0.392744479495268,0.505911636589919,1,1,99.98288154602051
Frank,Thomas,2322.0,8199.0,1494.0,2468.0,495.0,12.0,521.0,1704.0,32.0,1667.0,1397.0,87.0,0.0,121.0,0.301012318575436,0.419098669843161,0.554945725088425,1,1,99.76167678833008
Jim,Thome,2543.0,8422.0,1583.0,2328.0,451.0,26.0,612.0,1699.0,19.0,1747.0,2548.0,69.0,1.0,74.0,0.276418902873427,0.401861908456168,0.554143908810259,1,1,99.69388246536255
Sam,Thompson,1410.0,5998.0,1261.0,1988.0,343.0,161.0,126.0,1308.0,232.0,452.0,234.0,63.0,13.0,0.0,0.331443814604868,0.384308306463995,0.505335111703901,1,1,99.99203681945801
Mike,Tiernan,1478.0,5915.0,1316.0,1838.0,257.0,162.0,106.0,853.0,428.0,748.0,376.0,41.0,28.0,0.0,0.310735418427726,0.391855608591885,0.462721893491124,0,1,95.2406644821167
Joe,Tinker,1806.0,6441.0,774.0,1690.0,263.0,114.0,31.0,783.0,336.0,416.0,526.0,10.0,285.0,0.0,0.262381617761217,0.308140381534877,0.353050768514206,1,1,94.21223998069763
Alan,Trammell,2293.0,8288.0,1231.0,2365.0,412.0,55.0,185.0,1003.0,236.0,850.0,874.0,37.0,124.0,76.0,0.285352316602317,0.351529564371419,0.415299227799228,1,1,99.92863535881042
Pie,Traynor,1941.0,7559.0,1183.0,2416.0,371.0,164.0,58.0,1273.0,158.0,472.0,278.0,31.0,231.0,0.0,0.319618997221855,0.362068965517241,0.435110464347136,1,1,99.99946355819702
George,Van Haltren,1990.0,8043.0,1642.0,2544.0,286.0,161.0,69.0,1015.0,583.0,871.0,498.0,38.0,65.0,0.0,0.316299888101455,0.385723860589812,0.41763023747358,0,1,99.9909520149231
Arky,Vaughan,1817.0,6622.0,1173.0,2103.0,356.0,128.0,96.0,926.0,118.0,937.0,276.0,46.0,116.0,0.0,0.317577771066143,0.405785667324129,0.453488372093023,1,1,99.99755620956421
Mickey,Vernon,2409.0,8731.0,1196.0,2495.0,490.0,120.0,172.0,1311.0,137.0,955.0,869.0,49.0,80.0,19.0,0.285763371893254,0.358724625794546,0.428473256213492,0,1,96.13587856292725
Dixie,Walker,1905.0,6740.0,1037.0,2064.0,376.0,96.0,105.0,1023.0,59.0,817.0,325.0,16.0,93.0,0.0,0.306231454005935,0.38254324574145,0.437240356083086,0,1,99.97796416282654
Bobby,Wallace,2383.0,8618.0,1057.0,2309.0,391.0,143.0,34.0,1121.0,201.0,774.0,496.0,47.0,173.0,0.0,0.267927593409144,0.331602924038563,0.358319795776282,1,1,99.99215602874756
Lloyd,Waner,1993.0,7772.0,1201.0,2459.0,281.0,118.0,27.0,598.0,67.0,420.0,173.0,26.0,108.0,0.0,0.316392177045805,0.353492333901193,0.393335048893464,1,1,99.96529817581177
Paul,Waner,2549.0,9459.0,1627.0,3152.0,605.0,191.0,113.0,1309.0,104.0,1091.0,376.0,38.0,174.0,0.0,0.333227613912676,0.404325651681148,0.47341156570462,1,1,99.9993085861206
John,Ward,1827.0,7656.0,1410.0,2107.0,231.0,96.0,26.0,869.0,540.0,421.0,326.0,17.0,20.0,0.0,0.275208986415883,0.31443044230294,0.340647857889237,1,1,99.8388409614563
Zack,Wheat,2410.0,9106.0,1289.0,2884.0,476.0,172.0,132.0,1248.0,205.0,650.0,572.0,77.0,163.0,0.0,0.316714254337799,0.36723278755212,0.450252580716011,1,1,99.99992847442627
Billy,Williams,2488.0,9350.0,1410.0,2711.0,434.0,88.0,426.0,1475.0,90.0,1045.0,1046.0,43.0,8.0,73.0,0.289946524064171,0.361430881933213,0.491871657754011,1,1,99.98915195465088
Ted,Williams,2292.0,7706.0,1798.0,2654.0,525.0,71.0,521.0,1839.0,24.0,2021.0,709.0,39.0,5.0,20.0,0.344406955618998,0.481708563253628,0.633791850506099,1,1,99.99198913574219
Hack,Wilson,1348.0,4760.0,884.0,1461.0,266.0,67.0,244.0,1063.0,52.0,674.0,713.0,20.0,102.0,0.0,0.306932773109244,0.395122845617895,0.544747899159664,1,1,96.70901894569397
Dave,Winfield,2973.0,11003.0,1669.0,3110.0,540.0,88.0,465.0,1833.0,223.0,1216.0,1686.0,25.0,19.0,95.0,0.282650186312824,0.352621768376692,0.474506952649277,1,1,99.98364448547363
Carl,Yastrzemski,3308.0,11988.0,1816.0,3419.0,646.0,59.0,452.0,1844.0,168.0,1845.0,1393.0,40.0,13.0,105.0,0.285201868535202,0.379453426813564,0.462045378712045,1,1,99.94001388549805
Ross,Youngs,1211.0,4627.0,812.0,1491.0,236.0,93.0,42.0,592.0,153.0,550.0,390.0,37.0,119.0,0.0,0.322239031770045,0.398542385884158,0.440674303004106,1,1,99.98149275779724
Robin,Yount,2856.0,11008.0,1632.0,3142.0,583.0,126.0,251.0,1406.0,271.0,966.0,1350.0,48.0,104.0,123.0,0.285428779069767,0.342198435570193,0.4296875,1,1,99.93663430213928
